Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
FAO (2014),Maize,Kyrgyzstan,0.7969,1,1.080814837,0.0020762,0.033930669,0.078238759,,0.016050554,0.00521643,0.005427264,0.042928509,0.004200865,0,0,0.017457801,0,0.143801087,0,0,0,0,0,0,0,0.007096096,-,645.700961,44673.98325
FAO (2014),Maize,Madagascar,0.7364,1,9.507516581,0.000800948,0.003264807,0,,0,0,0.009377144,0.024436485,0,0,0,0.00322054,0.369327727,0.143801087,0,0,0,0,0,0,0.420886115,-,-,0,0
FAO (2014),Maize,Malawi,0.9694,1,2.359091761,0.002929602,0.062147926,0.003614607,,0,0,0.065587964,0.025611932,0,0,0,0.010329489,0.08586644,0.143801087,0,0,0,0,0,0,0.087795168,-,-,0,0
FAO (2014),Maize,Mali,0.973,1,3.427519663,0.006686563,0.032648066,0.002681805,,0,0,0.199364339,0.025551545,0,0,0,0.007562848,0,0.143801087,0,0,0,0,0,0,0.13702702,-,-,0,0
Dendooven et al. (2012); Govaerts et al. (2005); Beuchelt et al. (2015),Maize,Mexico,0.219449552,1,0.939644568,0.02791508,0.164831898,0.006254958,0.138195571,0.098540167,,,,0.041843253,0,0,0,0,0,0,0,0,0,0,0,0,0.015225786,0.012356844,240.354315,220.7149639
Dendooven et al. (2012); Govaerts et al. (2005); Beuchelt et al. (2015),Maize,Mexico,0.000550448,1,0.793047806,0.020745849,0.122499301,0.001227424,0.116017101,0.073232801,,,,0.03109695,0,0,0,0,0,0,0,0,0,0,0,0,0.011560248,0.006568642,269.7580199,247.7160921
Gustafson et al. (2014),Maize,Mexico,0.777948662,1,2.079253919,Incl,Incl,NC,1.15788564,,NC,0,0.038426277,NC,NC,0,0.036195023,0,Incl,0,0,0,0,0,0,0,-,-,101.1236676,3463.508875
FAO (2014),Maize,Mozambique,0.9665,1,6.104507769,0.003002865,0.112286027,0.005596811,,0,0,0.00540887,0.028866894,0,0,0,0.012108672,0,0.143801087,0,0,0,0,0,0,0.250582024,-,-,0,0
FAO (2014),Maize,Namibia,0.9902,1,1.756610734,0.002126738,0,0,,0,0,0.067187056,0.029319748,0,0,0,0.004449978,0,0.143801087,0,0,0,0,0,0,0.338972923,-,-,0,0
FAO (2014),Maize,Nigeria,0.9946,0.5,0.720876213,0.003580739,0.089782182,0.002332005,,0.030974494,0.01006671,0.014584946,0.026593679,0.003221959,0,0,0.008025505,0,0.143801087,0,0,0,0,0,0,0,-,-,0,0
Gustafson et al. (2014),Maize,Nigeria,0.9946,0.5,3.835068408,Incl,Incl,NC,0.177419459,,NC,0,0.026874459,NC,NC,0,0.008140254,0,Incl,0,0,0,0,0,0,0,-,-,98.7845071,799.354353
FAO (2014),Maize,Panama,0.9633,1,4.044859899,0.010117953,0.019005839,0.263866335,,0.104147166,0.033847829,0.021594006,0.042406265,0.018172092,0,0,0.040827667,2.550805864,0.143801087,0,0,0,0,0,0,0,0.012327382,-,0,0
Bartl et al. (2012),Maize,Peru,0.2717,1,2.930266053,0.003863165,0.472566486,,,,,0,0.036832984,0.027151198,0,0,0,0.070592107,0,0,0,0,0,0,0,0.007395621,-,-,1240.403014,22140.62321
FAO (2014),Maize,Philippines,0.8282,1,1.177823406,0.005370394,0.190174985,0.127444058,,0.074606005,0.024246951,0.057850814,0.030380038,0.019526415,0,0,0.11161446,0,0.143801087,0,0,0,0,0,0,0,0.013833764,-,0,0
FAO (2014),Maize,Poland,0.9936,1,2.180334885,0.001741793,0.135489474,0.122663449,,0.054513395,0.017716853,0.013604775,0.042543089,0.003292531,0,0,0.01725084,0.226830903,0.143801087,0,0,0,0,0,0,0,0.008186029,-,0,0
Teixeira et al. (2007),Maize,Portugal,0.3114,0.2,0.736553561,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0,0,0,0,0,0.007703466,0.00214317,1473.558415,110208.1117
Teixeira et al. (2007),Maize,Portugal,0.3114,0.2,0.873915319,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0,0,0,0,0,0.009354449,0.00207713,862.0316728,9184.688864
Teixeira et al. (2007),Maize,Portugal,0.3114,0.2,0.7233457,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0,0,0,0,0,0.007901584,0.00189222,1177.311775,60077.41932
Teixeira et al. (2007),Maize,Portugal,0.3114,0.2,0.869861703,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0,0,0,0,0,0.006824474,0.001745531,1841.948019,19625.40356
Teixeira et al. (2007),Maize,Portugal,0.3114,0.2,0.453814071,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0,0,0,0,0,0,0.006428238,0.001679492,1473.558415,15700.32284
FAO (2014),Maize,Republic of Moldova,0.9733,1,1.039437628,0.003233974,0.038944479,0.295581599,,0.004506154,0.0014645,0.019056669,0.04655006,0.000272165,0,0,0.019221321,0.034104985,0.143801087,0,0,0,0,0,0,0,0.009656106,-,0,0
FAO (2014),Maize,Romania,0.9564,1,1.098210892,0.00358402,0.104357211,0.241362489,,0.045547175,0.014802832,0.022080989,0.045235976,0.002750984,0,0,0.018583614,0.035209896,0.143801087,0,0,0,0,0,0,0,0.009755814,-,0,0
FAO (2014),Maize,Russian Federation,0.9551,1,3.080050739,0.007785413,0.11858244,0.284621177,,0.013770734,0.004475488,0.004431067,0.044986689,0.000831733,0,0,0.018439172,0.113834369,0.143801087,0,0,0,0,0,0,0,0.008342387,-,0,0
FAO (2014),Maize,Rwanda,0.9941,1,5.430268649,0.003047346,0.010843822,0,,0,0,0.099256676,0.026004171,0,0,0,0.010523477,1.080130516,0.143801087,0,0,0,0,0,0,0.242212528,-,-,0,0
FAO (2014),Maize,Senegal,0.9792,1,3.106903126,0.001599485,0.019005839,0,,0.009216824,0.002995468,0.019474513,0.027662994,0.000958732,0,0,0.008427826,0,0.143801087,0,0,0,0,0,0,0.309655291,-,-,0,0
FAO (2014),Maize,Serbia,0.9807,1,0.920845256,0.002440038,0.05445231,0.18737658,,0.028766547,0.009349128,0.015846875,0.044049614,0.001833984,0,0,0.018002597,0.000188197,0.143801087,0,0,0,0,0,0,0,0.00847485,-,0,0
FAO (2014),Maize,Sierra Leone,0.9943,1,12.71970044,0.001117257,0,0,,0,0,0.0159894,0.02923444,0,0,0,0.009115942,0,0.143801087,0,0,0,0,0,0,0.275974156,-,-,0,0
FAO (2014),Maize,Slovenia,0.9907,1,1.042827848,0.003258537,0.140619885,0.095612194,,0.061547103,0.020002809,0.012914747,0.041872795,0.003923877,0,0,0.016935204,0.034986946,0.143801087,0,0,0,0,0,0,0,0.008158069,-,0,0
FAO (2014),Maize,Somalia,0.9422,1,5.234427557,0.001599019,0,0,,0,0,0.013265035,0.023775605,0,0,0,0.003081183,0,0.143801087,0,0,0,0,0,0,0,-,-,0,0
FAO (2014),Maize,South Africa,0.858,1,0.87781305,0.001131624,0.085817774,0.18282917,,0.030898689,0.010042074,0.005383055,0.025414058,0.003214074,0,0,0.003695577,0.009363575,0.143801087,0,0,0,0,0,0,0,0.005813065,-,0,0
Gustafson et al. (2014),Maize,South Africa,0.142,1,1.250841605,Incl,Incl,NC,0.787328405,,NC,0,0.026437073,NC,NC,0,0.003900427,0.013674766,Incl,0,0,0,0,0,0,0,-,-,36.52470923,1391.803995
FAO (2014),Maize,Sri Lanka,0.7522,1,3.505653827,0.005227056,0.415796442,0.045474092,,0.115281434,0.037466466,0.018047805,0.034109519,0.030172278,0,0,0.069308997,0.478431213,0.143801087,0,0,0,0,0,0,0.014128022,0.015656189,-,0,0
Nemecek et al. (2005),Maize,Switzerland,0.882439424,1,1.173695092,0.006248127,0.611706879,,,,,,,0.003624922,0,0,0,0,0.129346832,0,0,0,0,0,0,0,0.010883852,0.01841423,0,0
Nemecek et al. (2005),Maize,Switzerland,0.016763829,1,1.197736556,0.007087581,0.631771617,,,,,,,0.00371547,0,0,0,0,0.129347218,0,0,0,0,0,0,0,0.011019975,0.018420104,0,0
Nemecek et al. (2005),Maize,Switzerland,0.010876422,1,1.126959118,0.005724916,0.575040619,,,,,,,0,0,0,0,0,0.129347257,0,0,0,0,0,0,0,0.017621906,0.020807681,0,0
Nemecek et al. (2005),Maize,Switzerland,0.088243942,1,1.173695092,0.006248127,0.611706879,,,,,,,0.003624922,0,0,0,0,0.129346832,0,0,0,0,0,0,0,0.010180554,0.017416306,0,0
Nemecek et al. (2005),Maize,Switzerland,0.001676383,1,1.126959118,0.005724916,0.575040619,,,,,,,0,0,0,0,0,0.129347257,0,0,0,0,0,0,0,0.016600989,0.019647275,0,0
FAO (2014),Maize,Thailand,0.7522,0.5,1.037701592,0.002401541,0.194489194,0.072875148,,0.062253222,0.020232297,0.011654438,0.030802078,0.016293357,0,0,0.082503981,0.013206267,0.143801087,0,0,0,0,0,0,0,0.011263436,-,0,0
Soni et al. (2013),Maize,Thailand,0.7522,0.5,0.57035407,0.001133844,0.047871837,0.000448247,0.097010812,0.035675532,0.011605707,0.001201774,0.015284558,0,0,0,0,0.022281339,0,0,0,0,0,0,0,0,0.005369234,0.001993456,0,0
FAO (2014),Maize,Togo,0.9978,1,9.145739867,0.002854938,0.002681805,0,,0,0,0.0420691,0.028573015,0,0,0,0.008852783,0,0.143801087,0,0,0,0,0,0,0.09664078,-,-,0,0
FAO (2014),Maize,Uganda,0.9994,1,4.958207271,0.001774198,0.009328019,0,,0,0,0.076186599,0.025051543,0,0,0,0.010011728,0.447642181,0.143801087,0,0,0,0,0,0,0.348016421,-,-,0,0
FAO (2014),Maize,Ukraine,0.9571,1,2.372070216,0.00108697,0.102724808,0.177115759,,0.019111091,0.006211104,0.008961386,0.043617187,0.001154282,0,0,0.017769254,0.096568831,0.143801087,0,0,0,0,0,0,0,0.007753661,-,0,0
Williams et al. (2006),Maize,United Kingdom,0.993,0.5,0.829081921,Incl,0.125230579,0.018348926,0.0496793,0.217414373,,,,0.003421733,0.012929556,0,0,0,0.021170627,0,0,0,0,0,0,0,0.004552191,0.00360011,0,0
Williams et al. (2006),Maize,United Kingdom,0.007,1,0.807739682,Incl,0.040085466,0.033229138,0.098388293,0.220623835,,,,0,0.016024064,0,0,0,0.021280312,0,0,0,0,0,0,0,0.004155322,0.008004229,0,0
Wiltshire et al. (2009),Maize,United Kingdom,0.993,0.5,0.827654751,0.00115188,0.162415038,NC,0.094454135,0.106688966,,0,0.03478988,0.001848419,0,0,0,0.083721892,Incl,0,0,0,0,0,0,0,-,-,0,0
FAO (2014),Maize,United Republic of Tanzania,0.49305,0.5,10.03832273,0.004644237,0.03463027,0.051304104,,0.017364312,0.005643401,0.038883655,0.047261946,0.001806231,0,0,0.044855204,0.402838254,0.143801087,0,0,0,0,0,0,2.382797021,0.007538243,-,0,0
Gustafson et al. (2014),Maize,United Republic of Tanzania,0.49305,0.5,15.88033762,Incl,Incl,NC,1.978163034,,NC,0,0.045777119,NC,NC,0,0.043202664,0.354549271,Incl,0,0,0,0,0,0,2.097166637,-,-,37.14110375,307.7545284
Plassmann et al. (2014),Maize,United Republic of Tanzania,0.4,0.5,10.9729001,0.431601951,,,,,,,,,0,0,0,0.285280316,0,0,0,0,0,0,0,1.687439267,0.006946948,-,0,0
Plassmann et al. (2014),Maize,United Republic of Tanzania,0.4,0.5,10.90441972,Incl,0,0,0,0,0,0,0.125346282,0,0,0,0,0.294639396,0,0,0,0,0,0,0,1.742798428,0.002923807,-,0,0
Plassmann et al. (2014),Maize,United Republic of Tanzania,0.1,1,6.458957628,0.521380169,,,,,,,,,0,0,0,0.154459143,0,0,0,0,0,0,0,0.913629185,0.009149886,-,0,0
Adom et al. (2012),Maize,United States of America,0.018343384,0.5,1.322349512,0.0057968,0.805111069,,,,,,,,,0,NC,0.053561699,Incl,0,0,0,0,0,0,0,0.006141038,-,384.4937619,14029.34687
Adom et al. (2012),Maize,United States of America,0.059005794,0.2,1.574993779,0.007084977,0.984024639,,,,,,,,,0,NC,0.089914124,Incl,0,0,0,0,0,0,0,0.00647117,-,384.534923,14030.84874
Adom et al. (2012),Maize,United States of America,0.15332168,1,1.367545949,0.005957822,0.827475265,,,,,,,,,0,NC,0.069776632,Incl,0,0,0,0,0,0,0,0.00582587,-,384.6952583,14036.69903
Adom et al. (2012),Maize,United States of America,0.087508363,1,1.562410828,0.007084977,0.984024639,,,,,,,,,0,NC,0.079128641,Incl,0,0,0,0,0,0,0,0.006084788,-,384.6834906,14036.26965
Archer and Halvorson (2010),Maize,United States of America,0.006916144,1,0.656663607,0.001657197,0.040556049,0.002831918,0.063019848,0.051425327,0.011840434,0,0.042539371,0.017953325,0,0,0,0.075518835,0,0,0,0,0,0,0,0,0.007811603,0.002115216,203.5984313,13005.74156
Archer and Halvorson (2010),Maize,United States of America,0.002367271,1,0.46636666,0.001695496,0.04859598,0.000904442,0.053541075,0.048641406,0.014064226,0,0.048408531,0.021329861,0,0,0,0.089721889,0,0,0,0,0,0,0,0,0.008532083,0.002382455,239.0032877,15267.38184
Camargo et al. (2013),Maize,United States of America,0.018343384,0.5,0.903959421,0.011767967,0.142210352,0.003981782,0.032567499,0.096323001,0.031304975,0,0.04895293,0.011794735,Incl,0,0.005734791,0.106169294,0.015038941,0,0,0,0,0,0,0,0.006896384,-,0,0
Grassini and Cassman (2012),Maize,United States of America,0.116707947,0.5,0.687736041,0.001722444,0.056132929,0.004065228,0.111755368,0.090468632,,0,0.00193961,0.009157004,0,0,0,0.045269064,Incl,0,0,0,0,0,0,0,0.007841784,0.003482552,315.7985375,354.6322836
Gustafson et al. (2014),Maize,United States of America,0.00458676,1,1.141822727,Incl,Incl,NC,0.516768201,,NC,0,0.043876119,NC,NC,0,0.00512895,0.08032839,Incl,0,0,0,0,0,0,0,-,-,72.11477526,2631.312381
Jungbluth et al. (2007),Maize,United States of America,0.02707668,0.333333333,1.149028259,0.05275609,0.391869474,,,,,,,,,0,NC,0.090418053,0.180845113,0,0,0,0,0,0,0,0.0094333,0.004270224,6.853853678,250.0823164
Kim et al. (2009),Maize,United States of America,0.154762135,1,0.699757138,0.002122897,0.091297985,0.002087891,0.037533616,0.1544296,,,,0.00949771,Incl,0,NC,0.059442469,Incl,0,0,0,0,0,0,0,0.007372554,0.001371008,0,0
Kim et al. (2009),Maize,United States of America,0.151884118,1,0.870672041,0.00313929,0.126802757,0.001995199,0.027389395,0.267051117,,,,0.012774089,Incl,0,NC,0.064795215,Incl,0,0,0,0,0,0,0,0.010567955,0.002317793,0,0
Kim et al. (2009),Maize,United States of America,0.024994642,1,0.919367564,0.003259466,0.124773913,0.004863956,0.0689807,0.241071939,,,,0.013013085,Incl,0,NC,0.091133616,Incl,0,0,0,0,0,0,0,0.010449607,0.002436141,0,0
Kim et al. (2009),Maize,United States of America,0.093590525,0.5,0.984002665,0.003447333,0.122745069,0.003763192,0.069995122,0.269148581,,,,0.013144313,Incl,0,NC,0.105725992,Incl,0,0,0,0,0,0,0,0.010922999,0.002436141,0,0
Kim et al. (2009),Maize,United States of America,0.093590525,0.5,0.899924225,0.003127152,0.087240297,0.00268929,0.049706681,0.285297095,,,,0.009393321,Incl,0,NC,0.06517816,Incl,0,0,0,0,0,0,0,0.006070724,0.001134311,0,0
Kim et al. (2009),Maize,United States of America,0.031470181,1,1.4905386,0.006201921,0.151148886,0.003712632,0.051735525,0.638045028,,,,0.016735808,Incl,0,NC,0.137021895,Incl,0,0,0,0,0,0,0,0.012106481,0.003027882,0,0
Kim et al. (2009),Maize,United States of America,0.116707947,0.5,0.842210515,0.003087434,0.085211453,0.005080389,0.114629692,0.213929431,,,,0.009959258,Incl,0,NC,0.059454919,Incl,0,0,0,0,0,0,0,0.007964295,0.001607704,667.9413037,42667.67635
Kim et al. (2009),Maize,United States of America,0.058053517,1,0.837307864,0.002509249,0.091297985,0.002859595,0.038548038,0.205922352,,,,0.009878854,Incl,0,NC,0.097657175,Incl,0,0,0,0,0,0,0,0.008200991,0.001489356,174.9174938,1485.882129
Murphy and Kendall (2013),Maize,United States of America,0.02707668,0.333333333,0.917658165,0.003153279,0.19357373,NC,0.125054476,0.061851537,,0,0.047931945,0.009543692,NC,0,0,0.076479496,Incl,0,0,0,0,0,0,0,0.00457588,0.003880246,371.2570726,13546.36866
Torres et al. (2015),Maize,United States of America,0.059005794,0.2,1.325087587,0.308120145,,,,0.359824858,,,,,,0,0,0.080332773,0.118538734,0,0,0,0,0,0,0,0.00985508,-,384.6142237,14033.74226
Torres et al. (2015),Maize,United States of America,0.059005794,0.2,1.332854319,0.297912347,,,,0.376689914,,,,,,0,0,0.080332773,0.118538734,0,0,0,0,0,0,0,0.009917157,-,384.6142237,14033.74226
Torres et al. (2015),Maize,United States of America,0.059005794,0.2,1.444095869,0.364182567,,,,0.297089434,,,,,,0,0,0.18901379,0.118538734,0,0,0,0,0,0,0,0.009757007,-,0,0
Torres et al. (2015),Maize,United States of America,0.059005794,0.2,1.42612621,0.340164792,,,,0.305704506,,,,,,0,0,0.18901379,0.118538734,0,0,0,0,0,0,0,0.009747258,-,0,0
Vellinga et al. (2013),Maize,United States of America,0.02707668,0.333333333,0.772531399,0.002501991,0.037292105,0.195133871,,0.047946992,,0.010654887,0.055405414,Incl,0.001065489,0,0,0,0.022375263,0,0,0,0,0,0,0,0.008125519,-,461.0029391,16821.00148
FAO (2014),Maize,Uzbekistan,0.879,1,0.915193407,0.00632354,0.107738618,0.055151912,,0.055374686,0.017996773,0.053426534,0.04200092,0.014493058,0,0,0.016971703,0,0.143801087,0,0,0,0,0,0,0,-,-,985.5243526,72128.9998
FAO (2014),Maize,Venezuela (Bolivarian Republic of),0.7971,1,2.176122784,0.001894854,0.225738057,0.279374166,,0.144986287,0.047120543,0.013370461,0.040523032,0.025297896,0,0,0.038641086,0.466255573,0.143801087,0,0,0,0,0,0,0.157104626,0.01467888,-,0,0
FAO (2014),Maize,Zambia,0.9078,1,72.27638458,0.001355318,0.032648066,0.002681805,,0.013985629,0.00454533,0.006194311,0.027546246,0.001454782,0,0,0.004124101,0.531733882,0.143801087,0,0,0,0,0,0,69.12544946,-,-,0,0
FAO (2014),Maize,Zimbabwe,0.8893,1,4.405206793,0.013730808,0.146683097,0.012126425,,0.056648896,0.018410891,0.028830242,0.038939033,0.005892604,0,0,0.006381732,0,0.143801087,0,0,0,0,0,0,0.023318269,-,-,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley (Beer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanaswamy et al. (2004),Beer,Australia,0.285073511,0.5,1.525977109,0.05292405,,,,,,,,,,0,0,0.007510904,0,0,0,0,0,0,0,0,0.006480668,0.002057174,8.933929598,226.0529019
Lalonde et al. (2013),Beer (Vashon Brewing Company),United States of America,1,0.142857143,2.63928512,0.366318945,,,,,,,,,,0,NC,0.072920789,Incl,0,0,0,0,0,0,0,0.038361277,0.004819485,44.67478045,1620.865347
Lalonde et al. (2013),"Beer (Vortex IPA, Fort George Brewery)",United States of America,1,0.142857143,1.368329757,0.507210848,,,,,,,,,,0,NC,0.103304451,Incl,0,0,0,0,0,0,0,0.017606735,0.012371997,66.13038555,2391.439509
Lalonde et al. (2013),"Beer (Pinnacle Peak Pale Ale, Harmon Brewing Company)",United States of America,1,0.142857143,0.607365559,0.309962185,,,,,,,,,,0,NC,0.064818479,Incl,0,0,0,0,0,0,0,0.007547392,0.003406192,39.3998468,1413.333619
Lalonde et al. (2013),"Beer (HUB Lager, Hopworks Urban Brewery)",United States of America,1,0.142857143,0.782051666,0.197248663,,,,,,,,,,0,NC,0.038485972,Incl,0,0,0,0,0,0,0,0.011206319,0.002556153,26.6989846,914.8671962
Lalonde et al. (2013),"Beer (Horn Blonde Ale, RAM Brewery)",United States of America,1,0.142857143,0.43919715,0.225427043,,,,,,,,,,0,NC,0.042537127,Incl,0,0,0,0,0,0,0,0.004822939,0.002204151,26.39570608,943.4510605
The Climate Conservancy (2008),Beer (Fat Tire® Amber Ale),United States of America,1,0.142857143,1.527237281,0.018926479,0.057864304,NC,0.049517294,0.056732473,,,,0.013198798,0.008813319,0,0.001573008,0.063572217,0,0,0,0,0,0,0,0,-,-,361.1259846,12989.0469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO (2014),Barley,Algeria,0.946,1,1.185795071,0.011501176,0.011223104,0.060982036,,0.003063156,0.000995526,0.064092718,0.005015762,0.000318629,0,0,3.27911E-06,0,0.011567323,0,0,0,0,0,0,0,0.007379751,-,6.97814951,252.6973556
ALCAS (2012),Barley,Australia,0.201594817,1,0.980052318,0.012055746,,,,0.000734084,0.000244695,0,0.002364355,0,0,0,0.001534029,0,0,0,0,0,0,0,0,0,0.005317403,0.00105409,6.957109863,177.159672
Eady et al. (2012),Barley,Australia,0.285073511,0.5,1.017908898,0.034016168,,,,,,,,,,0,0,0.008665919,0.007361024,0,0,0,0,0,0,0,-,0.001763556,6.957109863,177.159672
Maraseni and Cockfield (2011),Barley,Australia,0.003737852,1,1.015364106,0.001755206,0.003326265,0.001269733,0.008817587,0.000249606,8.19809E-05,0,0.008562964,0,0,0,0.006185467,0.008104398,0.009464174,0,0,0,0,0,0,0,0.005338911,0.001196403,6.957109863,177.159672
FAO (2014),Barley,Belarus,0.9955,1,1.489147135,0.019231231,0.048268859,0.040279531,,0.021928637,0.007126807,0.004650615,0.009331585,0.001324458,0,0,0.002646234,0.29087647,0.011567323,0,0,0,0,0,0,0,0.006302728,-,6.957109863,20.48416642
Meul et al. (2012),Barley,Belgium,0.2635,1,1.0396989,0.003171402,0.050596201,,,,,,,0.000887601,0,0,0,0.015420678,0.001547284,0,0,0,0,0,0,0,0.005436113,0.001450872,6.957109863,8.101137009
Vellinga et al. (2013),Barley,Belgium,0.73465875,1,1.017836169,0.002597634,0.006884797,0.00745853,,0.010040329,,0.009753462,0.005163598,Incl,0.002868665,0,0,0,0.001721199,0,0,0,0,0,0,0,0.006726088,-,6.230091882,7.254568191
FAO (2014),Barley,Bosnia and Herzegovina,0.9958,1,1.066301023,0.005086033,0.009558661,0.036712866,,0.002613189,0.000849286,0.003447958,0.008178435,0.000166601,0,0,0.002064126,0.010649893,0.011567323,0,0,0,0,0,0,1.20319E-05,0.005574867,-,6.957109863,7.000939655
FAO (2014),Barley,Bulgaria,0.978,1,1.112119767,0.004974282,0.025458058,0.037774939,,0.01095732,0.003561129,0.001634993,0.008162947,0.000661806,0,0,0.002059993,0.023330284,0.011567323,0,0,0,0,0,0,0,0.00576233,-,6.957109863,75.31356668
Gan et al. (2012a),Spring barley,Canada,0.3376,0.5,1.046459248,0.002777671,0.016888804,NC,0.005432335,0.013200992,,0,0.009569923,Incl,0,0,0,0.018666775,0.007361024,0,0,0,0,0,0,0,-,0.001336743,6.957109863,18.21621818
Gan et al. (2012a),Spring barley,Canada,0.3376,0.5,1.077436926,0.003089218,0.021075558,NC,0.007734143,0.013103034,,0,0.008236909,Incl,0,0,0,0.039988189,0.007361024,0,0,0,0,0,0,0,-,0.001324224,6.957109863,18.21621818
Christoforou et al. (2016),Winter barley,Cyprus,0.4285,1,1.098625098,0.002692571,0.017153096,0.00103819,0.081002064,0.007991048,0.000147499,0,0.007181145,0.000810193,0,0,0.001967903,0,0,0,0,0,0,0,0,0,0.005872318,0.001232839,173.7674709,8744.193894
FAO (2014),Barley,Czech Republic,0.9948,1,1.098673862,0.006413445,0.032004869,0.033637609,,0.014281237,0.004641402,0.003457178,0.008059935,0.000862566,0,0,0.002026185,0.003284887,0.011567323,0,0,0,0,0,0,0,0.005867608,-,6.957109863,11.77059503
Dalgaard et al. (2008),Spring barley,Denmark,0.89679525,0.5,1.116887492,0.103822785,,,,,,,,0.001525441,NC,0,NC,0.027787099,Incl,0,0,0,0,0,0,0,0.005916275,0.001864291,6.957109863,33.60583219
Knudsen et al. (2014),Spring barley,Denmark,0.0215,0.333333333,1.012681242,0.001251913,0,0.020323264,,,,,,0,0,0,0,0.03176722,0.007361024,0,0,0,0,0,0,0,-,-,49.52117455,173.1112568
Knudsen et al. (2014),Spring barley,Denmark,0.0215,0.333333333,1.043357462,0.0009423,0,0.015297077,,,,,,0,0,0,0,0.034841467,0.007361024,0,0,0,0,0,0,0,0.005137705,-,53.64027759,186.6117817
Knudsen et al. (2014),Spring barley,Denmark,0.0215,0.333333333,1.044182308,0.002517287,0.009615307,0.018793545,,0.012456192,,,,0,0,0,0,0.023480119,0.007361024,0,0,0,0,0,0,0,0.005855012,-,38.4175055,136.7185373
Knudsen et al. (2014),Spring barley,Denmark,0.08170475,0.5,1.067535214,0.003628346,0.022290026,0.010926485,,0.024475316,,,,0.001209888,0,0,0,0.021178146,0.007361024,0,0,0,0,0,0,0,-,-,35.33315299,126.6094486
Mogensen et al. (2014),Barley,Denmark,0.08170475,0.5,1.10543708,0.03456072,,,,0.030592333,,,,0.001359783,NC,0,0,0.026574481,Incl,0,0,0,0,0,0,0,0.005560677,-,14.30408549,57.6858387
Niero et al. (2015),Barley,Denmark,0.89679525,0.5,1.064614973,0.019694525,,,,0.024065702,,,,0,NC,0,0,0.01945677,0.007088884,0,0,0,0,0,0,0,0.005334852,0.001545565,6.957109863,33.60583219
Rajaniemi et al. (2011),Barley,Finland,0.9039,1,1.26627723,Incl,0.014391318,NC,0.02810343,0.029916332,,0,0.010223343,0,0.015784132,0,0,0.163346898,Incl,0,0,0,0,0,0,0,-,-,6.957109863,13.64713628
Carrouée et al. (2012),Summer malting barley,France,0.166,0.5,1.027593392,0.000922876,0.032770227,0.017604389,,0.006100811,,,,0.000846384,NC,0,0,0,0,0,0,0,0,0,0,0,0.005598123,0.001460144,25.46674088,92.26561581
Carrouée et al. (2012),Summer malting barley,France,0.166,0.5,1.026632223,0.000995107,0.030240843,0.0192142,,0.006202377,,,,0.00075536,NC,0,0,0,0,0,0,0,0,0,0,0,0.005564311,0.001465568,27.17883631,99.31047759
